station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp
XH.DR05..HH,2015-11-28T00:00:00.004,1308883,2015-11-28T03:38:08.834,0.801,P,XH.DR05.HHE.SAC,9.213588782586157e-06,9.213588782586157e-06
XH.DR05..HH,2015-11-28T00:00:00.004,1423631,2015-11-28T03:57:16.314,0.359,P,XH.DR05.HHE.SAC,1.680143759585917e-05,1.680143759585917e-05
XH.DR05..HH,2015-11-28T00:00:00.004,2029839,2015-11-28T05:38:18.394,0.483,P,XH.DR05.HHE.SAC,1.755206540110521e-05,1.755206540110521e-05
XH.DR05..HH,2015-11-28T00:00:00.004,2481991,2015-11-28T06:53:39.914,0.374,P,XH.DR05.HHE.SAC,8.54178870213218e-06,8.54178870213218e-06
XH.DR05..HH,2015-11-28T00:00:00.004,3118179,2015-11-28T08:39:41.794,0.31,P,XH.DR05.HHE.SAC,6.041481174179353e-05,6.041481174179353e-05
XH.DR05..HH,2015-11-28T00:00:00.004,3935859,2015-11-28T10:55:58.594,0.444,P,XH.DR05.HHE.SAC,5.049826722824946e-05,5.049826722824946e-05
XH.DR05..HH,2015-11-28T00:00:00.004,923679,2015-11-28T02:33:56.794,0.314,S,XH.DR05.HHE.SAC,5.961778151686303e-05,5.961778151686303e-05
XH.DR05..HH,2015-11-28T00:00:00.004,1309055,2015-11-28T03:38:10.554,0.517,S,XH.DR05.HHE.SAC,9.267372661270201e-06,9.267372661270201e-06
XH.DR05..HH,2015-11-28T00:00:00.004,1601747,2015-11-28T04:26:57.474,0.428,S,XH.DR05.HHE.SAC,0.00010425922664580867,0.00010425922664580867
XH.DR05..HH,2015-11-28T00:00:00.004,2029902,2015-11-28T05:38:19.024,0.369,S,XH.DR05.HHE.SAC,1.7487791410530917e-05,1.7487791410530917e-05
XH.DR05..HH,2015-11-28T00:00:00.004,3073839,2015-11-28T08:32:18.394,0.306,P,XH.DR05.HHN.SAC,2.437574767100159e-05,2.437574767100159e-05
XH.DR05..HH,2015-11-28T00:00:00.004,3073843,2015-11-28T08:32:18.434,0.373,S,XH.DR05.HHN.SAC,2.437574767100159e-05,2.437574767100159e-05
XH.DR05..HH,2015-11-28T00:00:00.004,923687,2015-11-28T02:33:56.874,0.577,P,XH.DR05.HHZ.SAC,1.73267035279423e-05,1.73267035279423e-05
XH.DR05..HH,2015-11-28T00:00:00.004,4864291,2015-11-28T13:30:42.914,0.315,P,XH.DR05.HHZ.SAC,1.7406517144991085e-05,1.7406517144991085e-05
XH.DR05..HH,2015-11-28T00:00:00.004,7432003,2015-11-28T20:38:40.034,0.333,P,XH.DR05.HHZ.SAC,1.1953796274610795e-05,1.1953796274610795e-05
XH.DR06..HH,2015-11-28T00:00:00.000,8639838,2015-11-28T23:59:58.380,0.424,P,XH.DR06.HHE.SAC,1.9778623027377762e-05,1.9778623027377762e-05
XH.DR06..HH,2015-11-28T00:00:00.000,3749786,2015-11-28T10:24:57.860,0.358,P,XH.DR06.HHN.SAC,1.5050446563691366e-05,1.5050446563691366e-05
XH.DR07..HH,2015-11-28T00:00:00.004,2338659,2015-11-28T06:29:46.594,0.375,P,XH.DR07.HHE.SAC,3.357137757120654e-05,3.357137757120654e-05
XH.DR07..HH,2015-11-28T00:00:00.004,7098919,2015-11-28T19:43:09.194,0.345,P,XH.DR07.HHE.SAC,1.2485756087698974e-05,1.2485756087698974e-05
XH.DR07..HH,2015-11-28T00:00:00.004,7155943,2015-11-28T19:52:39.434,0.366,P,XH.DR07.HHE.SAC,4.75909155284171e-06,4.75909155284171e-06
XH.DR07..HH,2015-11-28T00:00:00.004,8189831,2015-11-28T22:44:58.314,0.312,P,XH.DR07.HHE.SAC,1.175822671939386e-05,1.175822671939386e-05
XH.DR07..HH,2015-11-28T00:00:00.004,164899,2015-11-28T00:27:28.994,0.489,P,XH.DR07.HHN.SAC,1.3939380551164504e-05,1.3939380551164504e-05
XH.DR07..HH,2015-11-28T00:00:00.004,5396275,2015-11-28T14:59:22.754,0.494,P,XH.DR07.HHZ.SAC,2.480977855157107e-06,2.480977855157107e-06
XH.DR08..HH,2015-11-28T00:00:00.000,1065179,2015-11-28T02:57:31.790,0.312,P,XH.DR08.HHE.SAC,5.8229579735780135e-05,5.8229579735780135e-05
XH.DR08..HH,2015-11-28T00:00:00.000,8639842,2015-11-28T23:59:58.420,0.3,P,XH.DR08.HHE.SAC,3.445476750130183e-06,3.445476750130183e-06
XH.DR08..HH,2015-11-28T00:00:00.000,1510746,2015-11-28T04:11:47.460,0.336,S,XH.DR08.HHE.SAC,0.00011554842785699293,0.00011554842785699293
XH.DR08..HH,2015-11-28T00:00:00.000,1849374,2015-11-28T05:08:13.740,0.431,P,XH.DR08.HHN.SAC,8.482401386107272e-14,8.482401386107272e-14
XH.DR08..HH,2015-11-28T00:00:00.000,6427414,2015-11-28T17:51:14.140,0.31,P,XH.DR08.HHZ.SAC,4.351004008640302e-06,4.351004008640302e-06
XH.DR09..HH,2015-11-28T00:00:00.000,8639826,2015-11-28T23:59:58.260,0.407,P,XH.DR09.HHE.SAC,6.20060427536373e-06,6.20060427536373e-06
XH.DR10..HH,2015-11-28T00:00:00.004,3071967,2015-11-28T08:31:59.674,0.323,S,XH.DR10.HHE.SAC,1.7851714801508933e-05,1.7851714801508933e-05
XH.DR10..HH,2015-11-28T00:00:00.004,8639975,2015-11-28T23:59:59.754,0.318,S,XH.DR10.HHE.SAC,2.017146471189335e-06,2.017146471189335e-06
XH.DR10..HH,2015-11-28T00:00:00.004,1285341,2015-11-28T03:34:13.414,0.385,P,XH.DR10.HHZ.SAC,1.2005356438749004e-05,1.2005356438749004e-05
XH.DR10..HH,2015-11-28T00:00:00.004,6857987,2015-11-28T19:02:59.874,0.359,P,XH.DR10.HHZ.SAC,1.8779350284603424e-05,1.8779350284603424e-05
XH.DR11..HH,2015-11-28T00:00:00.000,7006478,2015-11-28T19:27:44.780,0.542,P,XH.DR11.HHE.SAC,7.097006891854107e-05,7.097006891854107e-05
XH.DR11..HH,2015-11-28T00:00:00.000,7318478,2015-11-28T20:19:44.780,0.309,P,XH.DR11.HHE.SAC,6.23824744252488e-05,6.23824744252488e-05
XH.DR11..HH,2015-11-28T00:00:00.000,1654178,2015-11-28T04:35:41.780,0.697,P,XH.DR11.HHN.SAC,3.277815994806588e-05,3.277815994806588e-05
XH.DR12..HH,2015-11-28T00:00:00.000,4874862,2015-11-28T13:32:28.620,0.423,P,XH.DR12.HHZ.SAC,1.2784487807948608e-05,1.2784487807948608e-05
XH.DR13..HH,2015-11-28T00:00:00.000,8260798,2015-11-28T22:56:47.980,0.333,P,XH.DR13.HHE.SAC,1.6644227798678912e-05,1.6644227798678912e-05
XH.DR13..HH,2015-11-28T00:00:00.000,8321886,2015-11-28T23:06:58.860,0.435,P,XH.DR13.HHE.SAC,2.7012907594325952e-05,2.7012907594325952e-05
XH.DR14..HH,2015-11-28T00:00:00.000,5971992,2015-11-28T16:35:19.920,0.346,S,XH.DR14.HHZ.SAC,4.594804977386957e-06,4.594804977386957e-06
XH.RS04..HH,2015-11-28T00:00:00.000,1234474,2015-11-28T03:25:44.740,0.485,S,XH.RS04.HHN.SAC,4.050819825351937e-06,4.050819825351937e-06
XH.RS04..HH,2015-11-28T00:00:00.000,2306894,2015-11-28T06:24:28.940,0.326,P,XH.RS04.HHZ.SAC,4.814077328774147e-06,4.814077328774147e-06
XH.RS04..HH,2015-11-28T00:00:00.000,3968990,2015-11-28T11:01:29.900,0.304,P,XH.RS04.HHZ.SAC,1.733375756884925e-05,1.733375756884925e-05
XH.RS04..HH,2015-11-28T00:00:00.000,4535510,2015-11-28T12:35:55.100,0.561,P,XH.RS04.HHZ.SAC,1.4913322047505062e-05,1.4913322047505062e-05
XH.RS04..HH,2015-11-28T00:00:00.000,7829894,2015-11-28T21:44:58.940,0.362,P,XH.RS04.HHZ.SAC,1.5653813534299843e-05,1.5653813534299843e-05
XH.RS05..HH,2015-11-28T00:00:00.000,6461966,2015-11-28T17:56:59.660,0.481,P,XH.RS05.HHN.SAC,7.676851964788511e-05,7.676851964788511e-05
XH.RS05..HH,2015-11-28T00:00:00.000,4075386,2015-11-28T11:19:13.860,0.565,P,XH.RS05.HHZ.SAC,1.7770300473785028e-05,1.7770300473785028e-05
XH.RS05..HH,2015-11-28T00:00:00.000,8563478,2015-11-28T23:47:14.780,0.372,P,XH.RS05.HHZ.SAC,1.3776451623925823e-06,1.3776451623925823e-06
XH.RS05..HH,2015-11-28T00:00:00.000,4992872,2015-11-28T13:52:08.720,0.306,S,XH.RS05.HHZ.SAC,6.540408321598079e-06,6.540408321598079e-06
